Anyo,Mes,Dia,Ventas,Prediccion
2015,11,22,2115,2500.082562590726
2015,11,23,1266,2097.984264304064
2015,11,26,1832,2103.435128168133
2015,11,27,3331,2103.435128168133
2015,12,1,1540,2210.923626846071
2015,12,4,2435,2210.923626846071
2015,12,9,1580,2187.0372311797473
2015,12,15,1733,2163.907103594115
2015,12,19,4281,2775.3741525607265
2015,12,20,3665,2666.191231828781
2015,12,22,3064,2468.1553414474715
2015,12,29,4476,2970.615305269219
2015,12,31,1955,1888.3400441163228
2016,1,5,4925,2621.6304564936495
2016,1,7,1887,2270.4175739914485
2016,1,8,2477,2141.7403018669193
2016,1,10,2447,2653.692191917844
2016,1,17,2207,2481.9528609040995
2016,1,19,1512,1991.711076911664
2016,1,20,1518,1976.3598536708257
2016,1,25,1466,1996.3566291800573
2016,1,28,1741,2040.8631828927953
2016,2,1,1626,2079.630871898145
2016,2,3,1716,2079.630871898145
2016,2,6,3352,2815.994519996993
2016,2,10,1738,2080.612055800367
2016,2,13,3167,2879.928675110252
2016,2,15,1589,2094.371106301549
2016,2,16,1830,2122.532265899901
2016,2,22,1649,2112.6319065231323
2016,2,26,2410,2117.5160063628805
2016,2,28,4002,2599.9110419045146
2016,3,3,3035,2277.70068244302
2016,3,5,5454,3010.5717767337
2016,3,7,1679,2238.790966247602
2016,3,8,2266,2236.834328510491
2016,3,11,4000,2254.6085372387574
2016,3,22,1975,2500.327059440753
2016,3,29,1939,2323.8504876541897
2016,4,4,1957,2094.130910814828
2016,4,8,2252,2197.539142337554
2016,4,17,2117,2625.5026825222767
2016,4,20,1491,2085.294483231474
2016,4,27,1654,2111.880854562695
